STT,Tên chức năng,Tác nhân,Transaction,Mô tả,Phân loại BMT,Độ phức tạp,Đã update 3 phụ lục
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem lịch sử phân công, thay đổi thời hạn và trạng thái xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị lịch sử phân công, thay đổi thời hạn và trạng thái luân chuyển của hồ sơ.","Xem lịch sử phân công, thay đổi trạng thái, thời hạn xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống hiển thị lịch sử phân công, thay đổi thời hạn và trạng thái luân chuyển của hồ sơ.",,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem kết quả cập nhật thông tin xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị thông tin phân công, thời hạn xử lý và trạng thái luân chuyển của hồ sơ sau khi được cập nhật.","xem kết quả cập nhật thông tin xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống hiển thị thông tin phân công, thời hạn xử lý và trạng thái luân chuyển sau khi được cập nhật.",,,xxx
14,"Tìm kiếm thông tin hỏi đáp, vướng mắc pháp lý đã tiếp nhận xử lý","Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP",,Tìm kiếm các yêu cầu đang nằm trong hàng đợi chờ xử lý hoặc đã được phân công xử lý.,B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP nhập từ khóa tìm kiếm thông tin hỏi đáp, vướng mắc pháp lý đã tiếp nhận xử lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng với điều kiện tìm kiếm.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP lọc theo thời gian để tìm kiếm thông tin hỏi đáp, vướng mắc pháp lý đã tiếp nhận xử lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo điều kiện lọc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP lọc theo lĩnh vực để tìm kiếm thông tin hỏi đáp, vướng mắc pháp lý đã tiếp nhận xử lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo điều kiện lọc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP kết hợp nhiều điều kiện tìm kiếm thông tin hỏi đáp, vướng mắc pháp lý đã tiếp nhận xử lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo các điều kiện lọc.",,,,
15,"Phân công xử lý câu hỏi, vướng mắc","Cán bộ nghiệp vụ TW,BN,ĐP",,Cung cấp công cụ cho CB Nghiệp vụ gán/chuyển yêu cầu hỏi đáp đến Người hỗ trợ/Tổ chức tư vấn phù hợp.,B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chọn phân công xử lý câu hỏi, vướng mắc;
Hệ thống kiểm tra điều kiện và hiển thị màn hình chọn Người hỗ trợ/Tổ chức tư vấn phù hợp.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP lọc điều kiện để tìm kiếm người hỗ trợ xử lý câu hỏi, vướng mắc;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả người hỗ trợ tương ứng với điều kiện tìm kiếm.",Thêm tìm kiếm người người hỗ trợ ,,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP lựa chọn Người hỗ trợ/Tổ chức tư vấn phù hợp để phân công xử lý câu hỏi, vướng mắc;
Hệ thống kiểm tra điều kiện và chuyển yêu cầu hỏi đáp đến Người hỗ trợ/Tổ chức tư vấn đã chọn nếu hợp lệ.",,,,
16,"Phản hồi câu hỏi, vướng mắc","Cán bộ nghiệp vụ TW,BN,ĐP",,Cung cấp công cụ cho Người hỗ trợ/CB Nghiệp vụ soạn thảo và gửi nội dung phản hồi chính thức cho người gửi.,B,Đơn giản,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chọn phản hồi câu hỏi, vướng mắc;
Hệ thống kiểm tra điều kiện và hiển thị màn hình thông tin về câu hỏi, vướng mắc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP nhập phản hồi câu hỏi, vướng mắc rồi nhấn Lưu;
Hệ thống kiểm tra điều kiện và lưu lại phản hồi câu hỏi, vướng mắc đã nhập.",,,,
17,"Quản lý công khai phản hồi câu hỏi, vướng mắc","Cán bộ phê duyệt TW,BN,ĐP",,Quản lý quy trình kiểm duyệt và xuất bản công khai các câu trả lời.,B,Trung bình,
,,,"Cán bộ phê duyệt TW,BN,ĐP phê duyệt phản hồi câu hỏi, vướng mắc;
Hệ thống hiển thị màn hình xác nhận phê duyệt phản hồi câu hỏi, vướng mắc.",,,,
,,,"Cán bộ phê duyệt TW,BN,ĐP chọn xác nhận phê duyệt phản hồi câu hỏi, vướng mắc;
Hệ thống kiểm tra điều kiện và thực hiện xác nhận phê duyệt phản hồi câu hỏi, vướng mắc.",,,,
,,,"Cán bộ phê duyệt TW,BN,ĐP công khai phản hồi câu hỏi, vướng mắc;
Hệ thống kiểm tra điều kiện và thực hiện công khai phản hồi câu hỏi, vướng mắc lên Cổng.",,,,
,,,"Cán bộ phê duyệt TW,BN,ĐP hủy công khai phản hồi câu hỏi, vướng mắc;
Hệ thống kiểm tra điều kiện và thực hiện hủy công khai phản hồi câu hỏi, vướng mắc khỏi Cổng.",,,,
II.3,"Quản lý danh sách câu hỏi, vướng mắc đã xử lý",,,,,,
18,"Quản lý câu hỏi, vướng mắc đã xử lý","Cán bộ nghiệp vụ TW,BN,ĐP",,Quản lý các trường dữ liệu chi tiết của từng yêu cầu đã hoàn thành xử lý.,B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách câu hỏi, vướng mắc đã xử lý;
Hệ thống kiểm tra điều kiện và hiển thị danh sách câu hỏi, vướng mắc đã xử lý.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chọn phân trang để xem danh sách câu hỏi, vướng mắc đã xử lý;
Hệ thống hiển thị danh sách câu hỏi, vướng mắc đã xử lý theo phân trang đã chọn.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết câu hỏi, vướng mắc đã xử lý;
Hệ thống kiểm tra điều kiện và hiển thị thông tin chi tiết câu hỏi, vướng mắc đã xử lý.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP làm mới dữ liệu danh sách câu hỏi, vướng mắc đã xử lý;
Hệ thống kiểm tra điều kiện và cập nhật dữ liệu danh sách câu hỏi, vướng mắc đã xử lý mới nhất.",,,,
